Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset
AH01	strijkplank	picture	silent	strijkplank	0,2	1,1	1000
AH01	strijkplank	picture	silent	!	1,1	1,2018	1900
AH01	stuur	picture	aloud	aloud	0	0,3811	800
AH01	stuur	picture	aloud	stuur	0,3811	0,9772	1181
AH01	stuur	picture	aloud	!	0,9772	1,2	1777
AH01	surfplank	picture+word	silent	silent	0	0,2	800
AH01	surfplank	picture+word	silent	surfplank	0,2	1,1	1000
AH01	surfplank	picture+word	silent	!	1,1	1,2051	1900
AH01	t-shirt	picture+word	silent	silent	0	0,2	800
AH01	t-shirt	picture+word	silent	t-shirt	0,2	1,1	1000
AH01	t-shirt	picture+word	silent	!	1,1	1,2033	1900
AH01	tafel	picture	aloud	aloud	0	0,4176	800
AH01	tafel	picture	aloud	tafel	0,4176	0,9123	1218
AH01	tafel	picture	aloud	!	0,9123	1,2009	1712
AH01	ton	picture	aloud	aloud	0	0,5511	800
AH01	ton	picture	aloud	ton	0,5511	0,9156	1351
AH01	ton	picture	aloud	!	0,9156	1,2043	1716
AH01	trechter	picture	silent	silent	0	0,2	800
AH01	trechter	picture	silent	trechter	0,2	1,1	1000
AH01	trechter	picture	silent	!	1,1	1,204	1900
AH01	tuinslang	picture+word	aloud	aloud	0	0,4157	800
AH01	tuinslang	picture+word	aloud	tuinslang	0,4157	1,0045	1216
AH01	tuinslang	picture+word	aloud	!	1,0045	1,2021	1805
AH01	tulp	picture+word	silent	silent	0	0,2	800
AH01	tulp	picture+word	silent	tulp	0,2	1,1	1000
AH01	tulp	picture+word	silent	!	1,1	1,2076	1900
AH01	ui	picture+word	aloud	aloud	0	0,5225	800
AH01	ui	picture+word	aloud	ui	0,5225	0,8077	1323
AH01	ui	picture+word	aloud	!	0,8077	1,208	1608
AH01	veer	picture	silent	silent	0	0,2	800
AH01	veer	picture	silent	veer	0,2	1,1	1000
AH01	veer	picture	silent	!	1,1	1,2026	1900
AH01	vergrootglas	picture+word	silent	silent	0	0,2	800
AH01	vergrootglas	picture+word	silent	vergrootglas1	0,2	1,1	1000
AH01	vergrootglas	picture+word	silent	!	1,1	1,1999	1900
AH01	verwarming	picture	silent	silent	0	0,2	800
AH01	verwarming	picture	silent	verwarming1	0,2	1,1	1000
AH01	verwarming	picture	silent	!	1,1	1,2009	1900
AH01	vingerhoedje	picture	silent	silent	0	0,2	800
AH01	vingerhoedje	picture	silent	vingerhoedje	0,2	1,1	1000
AH01	vingerhoedje	picture	silent	!	1,1	1,2078	1900
AH01	viool	picture+word	silent	silent	0	0,2	800
AH01	viool	picture+word	silent	viool	0,2	1,1	1000
AH01	viool	picture+word	silent	!	1,1	1,2066	1900
AH01	vlag	picture	aloud	aloud	0	1,093	800
AH01	vlag	picture	aloud	vlag	1,093	1,1718	1893
AH01	vlag	picture	aloud	!	1,1718	1,2064	1972
AH01	vlieger	picture	silent	silent	0	0,2	800
AH01	vlieger	picture	silent	vlieger	0,2	1,1	1000
AH01	vlieger	picture	silent	!	1,1	1,2073	1900
AH01	vuurtoren	picture	aloud	aloud	0	0,6104	800
AH01	vuurtoren	picture	aloud	vuurtoren	0,6104	1,1665	1410
AH01	vuurtoren	picture	aloud	!	1,1665	1,2065	1967
AH01	wandelstok	picture+word	aloud	aloud	0	0,5874	800
AH01	wandelstok	picture+word	aloud	wandelstok	0,5874	1,1697	1387
AH01	wandelstok	picture+word	aloud	!	1,1697	1,2012	1970
AH01	watermeloen	picture+word	silent	silent	0	0,2	800
AH01	watermeloen	picture+word	silent	watermeloen	0,2	1,1	1000
AH01	watermeloen	picture+word	silent	!	1,1	1,2081	1900
AH01	weegschaal	picture	aloud	aloud	0	0,5232	800
AH01	weegschaal	picture	aloud	weegschaal	0,5232	1,1	1323
AH01	weegschaal	picture	aloud	!	1,1	1,2044	1900
AH01	winkelwagen	picture+word	aloud	aloud	0	0,4411	800
AH01	winkelwagen	picture+word	aloud	winkelwagen	0,4411	1,1774	1241
AH01	winkelwagen	picture+word	aloud	!	1,1774	1,2075	1977
AH01	witlof	picture	silent	silent	0	0,2	800
AH01	witlof	picture	silent	witlof	0,2	1,1	1000
AH01	witlof	picture	silent	!	1,1	1,2041	1900
AH01	wolk	picture	aloud	aloud	0	0,3399	800
AH01	wolk	picture	aloud	wolk	0,3399	0,7193	1140
AH01	wolk	picture	aloud	!	0,7193	1,2036	1519
AH01	wortel	picture	aloud	aloud	0	0,4367	800
AH01	wortel	picture	aloud	wortel	0,4367	0,8828	1237
AH01	wortel	picture	aloud	!	0,8828	1,208	1683
AH01	zaag	picture	silent	silent	0	0,2	800
AH01	zaag	picture	silent	zaag	0,2	1,1	1000
AH01	zaag	picture	silent	!	1,1	1,1995	1900
AH01	zaklamp	picture	silent	silent	0	0,2	800
AH01	zaklamp	picture	silent	zaklamp1	0,2	1,1	1000
AH01	zaklamp	picture	silent	!	1,1	1,2046	1900
AH01	zandloper	picture+word	silent	silent	0	0,2	800
AH01	zandloper	picture+word	silent	zandloper	0,2	1,1	1000
AH01	zandloper	picture+word	silent	!	1,1	1,2012	1900
AH01	zebra	picture	silent	silent	0	0,2	800
AH01	zebra	picture	silent	zebra	0,2	1,1	1000
AH01	zebra	picture	silent	!	1,1	1,2033	1900
AH01	zeef	picture+word	aloud	aloud	0	0,3858	800
AH01	zeef	picture+word	aloud	zeef	0,3858	0,9611	1186
AH01	zeef	picture+word	aloud	!	0,9611	1,2007	1761
AH02	aardappel	picture+word	aloud	aloud	0	0,4	800
AH02	aardappel	picture+word	aloud	aardappel	0,4	0,9711	1200
AH02	aardappel	picture+word	aloud	!	0,9711	1,2047	1771
AH02	aardbei	picture+word	silent	silent	0	0,2	800
AH02	aardbei	picture+word	silent	aardbei	0,2	1,1	1000
AH02	aardbei	picture+word	silent	!	1,1	1,2027	1900
AH02	anker	picture	aloud	aloud	0	1,1693	800
AH02	anker	picture	aloud	anker	1,1693	1,1754	1969
AH02	anker	picture	aloud	!	1,1754	1,2047	1975
AH02	asperges	picture+word	silent	silent	0	0,2	800
AH02	asperges	picture+word	silent	asperges	0,2	1,1	1000
AH02	asperges	picture+word	silent	!	1,1	1,2057	1900
AH02	bakje	picture	aloud	aloud	0	1,1684	800
AH02	bakje	picture	aloud	bakje	1,1684	1,1737	1968
AH02	bakje	picture	aloud	!	1,1737	1,2022	1974
AH02	ballon	picture+word	aloud	aloud	0	0,4487	800
AH02	ballon	picture+word	aloud	ballon	0,4487	0,8992	1249
AH02	ballon	picture+word	aloud	!	0,8992	1,2036	1699
AH02	banaan	picture	aloud	aloud	0	0,3724	800
AH02	banaan	picture	aloud	banaan	0,3724	0,8521	1172
AH02	banaan	picture	aloud	!	0,8521	1,2086	1652
AH02	band	picture+word	aloud	aloud	0	0,4296	800
AH02	band	picture+word	aloud	band	0,4296	0,9035	1230
AH02	band	picture+word	aloud	!	0,9035	1,2094	1704
AH02	bed	picture	aloud	aloud	0	0,4298	800
AH02	bed	picture	aloud	bed	0,4298	0,8236	1230
AH02	bed	picture	aloud	!	0,8236	1,2014	1624
AH02	beker	picture+word	silent	silent	0	0,2	800
AH02	beker	picture+word	silent	beker	0,2	1,1	1000
AH02	beker	picture+word	silent	!	1,1	1,2053	1900
AH02	bierflesje	picture	silent	silent	0	0,2	800
AH02	bierflesje	picture	silent	bierflesje	0,2	1,1	1000
