Subject	Trial	ID	Stimulus_status	Stimulus_type	Response_type	File_name	English_name	Dutch_name	Other_A	Other_B	List	Compound	Agreement_percentage	DK_percentage	Lg10WF	Familiarity	Visual_complexity	Manipulability	Letters	Non-word	Correct	Response
AH14	73	178	Target	picture	silent	iron01b.jpg	iron	strijkijzer	strijkbout	n/a	6	0	88	13	"15,051"	"4,4"	3	"3,9"	11	schaazer.png	1	1
AH14	47	179	Target	picture+word	aloud	broom01.jpg	broom	bezem	veger	n/a	6	0	88	0	"22,227"	"4,3"	"2,3"	"3,9"	5	schater.png	1	1
AH14	38	180	Target	picture+word	silent	bikepump01.jpg	pump	fietspomp	pomp	n/a	6	1	86	0	"0,699"	"4,52"	"1,88"	"3,65"	9	schebersje.png	1	1
AH14	15	181	Target	picture	aloud	rug01.jpg	rug	kleed	vloerkleed	mat	6	0	75	0	"30,212"	"4,1"	"2,5"	2	5	scheche.png	1	1
AH14	108	182	Target	picture	silent	thermometer02b.jpg	thermometer	thermometer	temperatuurmeter	n/a	6	0	88	0	"17,634"	"4,1"	"2,7"	"1,8"	11	schildcet.png	1	1
AH14	74	183	Target	picture+word	aloud	tweezers02a.jpg	tweezers	pincet	n/a	n/a	6	0	100	0	"16,021"	"4,3"	"1,9"	"3,3"	6	schofel.png	1	1
AH14	14	184	Target	picture+word	silent	sandcastle.jpg	sand-castle	zandkasteel	n/a	n/a	6	1	100	0	"11,139"	"4,36"	"2,6"	"2,09"	11	schoorstaar.png	1	1
AH14	5	185	Target	picture	aloud	rice.jpg	rice	rijst	n/a	n/a	6	0	100	0	"26,042"	"4,5"	"2,4"	"1,5"	5	schoudep.png	1	1
AH14	1	186	Target	picture	silent	scissors01.jpg	scissors	schaar	n/a	n/a	6	0	100	0	"24,456"	"4,5"	"2,5"	"4,2"	6	schroevendrine.png	1	1
AH14	56	187	Target	picture+word	aloud	safe.jpg	safe	kluis	n/a	n/a	6	0	100	0	"31,892"	"4,26"	"2,36"	"3,38"	5	siget.png	1	1
AH14	128	188	Target	picture+word	silent	saltshaker03a.jpg	salt-shaker	zout	zoutvaatje	n/a	6	0	50	0	"28,319"	"4,76"	"1,74"	"3,59"	4	sigomp.png	1	1
AH14	26	189	Target	picture	aloud	fan.jpg	fan	ventilator	fan	n/a	6	0	75	0	"20,453"	"4,2"	"3,1"	"2,4"	10	skeluwpop.png	1	2
AH14	59	190	Target	picture	silent	bandaid01.jpg	band-aid	pleister	n/a	n/a	6	0	88	13	"2,03"	"3,9"	"1,9"	"3,2"	8	slabbets.png	1	1
AH14	53	191	Target	picture+word	aloud	straw.jpg	straw	rietje	n/a	n/a	6	0	100	0	"20,607"	"3,7"	"1,8"	"3,7"	6	sleker.png	1	1
AH14	19	192	Target	picture+word	silent	dishsoap.jpg	dish-soap	afwasmiddel	n/a	n/a	6	1	100	0	"10,414"	"4,4"	"2,3"	"2,2"	11	sleutord.png	1	1
AH14	120	193	Target	picture	aloud	photocopier.jpg	photocopier	printer	kopieermachine	n/a	6	0	88	0	"16,021"	"4,52"	"3,1"	"2,94"	7	sneeuwok.png	1	2
AH14	11	194	Target	picture	silent	lemon02.jpg	lemon	citroen	limoen	n/a	6	0	88	0	"23,598"	"4,6"	"2,2"	"2,1"	7	sotel.png	1	1
AH14	89	195	Target	picture+word	aloud	pill.jpg	pill	pil	n/a	n/a	6	0	100	0	"26,149"	4	"1,9"	"2,7"	3	spapel.png	1	1
AH14	127	196	Target	picture+word	silent	pacifier02d.jpg	pacifier	speen	tutje	n/a	6	0	88	13	"12,304"	"3,8"	"2,7"	"3,3"	5	spast.png	1	1
AH14	83	197	Target	picture	aloud	pig.jpg	pig.	varken	n/a	n/a	6	0	100	0	"30,346"	"4,36"	"2,57"	"2,24"	6	spiegaan.png	1	1
AH14	96	198	Target	picture	silent	windmill.jpg	windmill	molen	n/a	n/a	6	0	100	0	"22,989"	"4,33"	"2,81"	2	5	stanlend.png	1	1
AH14	30	199	Target	picture+word	aloud	rock01a.jpg	rock	steen	kei	brood	6	0	75	0	"3,194"	"4,1"	"2,3"	"2,3"	5	steenel.png	1	1
AH14	65	200	Target	picture+word	silent	garbagecan02.jpg	garbage-bin	prullenbak	pedaalemmer	afvalemmer	6	0	75	0	"17,924"	"4,57"	"1,93"	"3,12"	10	stofaas.png	1	1
AH14	76	201	Target	picture	aloud	accordion01.jpg	accordion	accordeon	n/a	n/a	6	0	100	0	"17,243"	"4,26"	"3,33"	"4,12"	9	stoller.png	1	1
AH14	9	202	Target	picture	silent	eggplant.jpg	eggplant	aubergine	n/a	n/a	6	0	100	0	"14,914"	4	"2,2"	"1,5"	9	strijkink.png	1	1
AH14	101	203	Target	picture+word	aloud	yarn.jpg	wool	wol	garen	draad	6	0	75	0	"22,175"	"3,7"	"2,7"	"2,1"	3	strijkot.png	1	1
AH14	112	204	Target	picture+word	silent	leaf02a.jpg	leaf	blad	n/a	n/a	6	0	100	0	"26,884"	"4,4"	"1,8"	"2,2"	4	stropger.png	1	1
